Record_number,Study_number,Author,Site_name,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_wet,Rs_dry,RC_seasonal,RC_season,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Lat_Round,Long_Round,MAP_Del,MAT_Del,PAnnual_Del,TAnnual_Del,Year,PRECIP_SD,TAIR_SD,SPI,Study_TS_Annual,TS_Flag,Annual_TS_Coverage,TS_Source,TAIR1,TAIR2,TAIR3,TAIR4,TAIR5,TAIR6,TAIR7,TAIR8,TAIR9,TAIR10,TAIR11,TAIR12,Rs1,Rs2,Rs3,Rs4,Rs5,Rs6,Rs7,Rs8,Rs9,Rs10,Rs11,Rs12
4995,6451,Pannatier,Vordemwald,1,47.26666667,7.883333333,480,None,,,100,Abies alba,Temperate,Forest,Natural,8.4,1106,,,,IRGA,30,1,,619,52,,,,,"Arrhenius, R=a*exp(-b/RT), T in K",Positive,mg C/m2/hr,0,15,,0.79,5,2.61E+13,62.7,,,,Positive,1.637,47.25,7.75,1089.28,9,1158.9,9.22,2004,165.253,0.669,0.421,8.646,,1,MGRsD,0.8,1,3.7,9.3,11.8,16.2,18,18.5,14.9,11.1,4.4,0.9,0.673,0.447,0.787,1.451,2.018,2.795,3.216,3.54,2.553,1.841,1.048,0.822
4996,6451,Pannatier,Vordemwald,1,47.26666667,7.883333333,480,None,,,100,Abies alba,Temperate,Forest,Natural,8.4,1106,,,,IRGA,30,1,,573,58,,,,,"Arrhenius, R=a*exp(-b/RT), T in K",Positive,mg C/m2/hr,0,15,,0.79,5,2.61E+13,62.7,,,,Positive,1.637,47.25,7.75,1089.28,9,1158.9,8.93,2005,165.253,0.669,0.421,8.646,,1,MGRsD,-0.7,-1.6,4.6,8.8,13.5,18.3,18.6,16.8,15.5,10.5,3.3,-0.4,0.385,0.758,1.033,1.632,2.086,2.717,3.268,3.786,2.119,1.666,1.149,0.874
4999,6458,Payeur-Poirier,EOBS,1,49.692,-74.342,,None,,,105,Picea mariana; Pinus banksiana,Boreal,Forest,Natural,,,,,,IRGA,25,0.5,,593,,,,,,"Q10, R=a exp((bT-c)/10)",Positive,umol CO2/m2/s,0,15,,0.79,15,3.32,3.8,15,,,None,3.32,49.75,-74.25,978.25,-0.46,1177.8,0.43,2008,117.115,1.098,1.704,2.8,TAIR_5,0.58,MGRsD and TAIR_Del,-15.1,-17.4,-13.3,0.8,6.1,13.9,16.1,15.7,10.5,4.3,-2,-14.5,,,,,1.726,3.395,3.996,3.832,3.319,2.598,1.039,
5000,6458,Payeur-Poirier,HBS00,1,49.267,-74.037,,None,,,8,Picea mariana; Pinus banksiana,Boreal,Forest,Managed,,,,,,IRGA,25,0.5,,500,,,,,,"Q10, R=a exp((bT-c)/10)",Positive,umol CO2/m2/s,0,15,,0.68,15,2.48,2.91,15,,,None,2.48,49.25,-74.25,920.19,0.17,853,0.98,2008,117.896,0.968,-0.57,2.8,TAIR_5,0.58,MGRsD and TAIR_Del,-14.6,-16.7,-11.8,1.7,6.6,13.9,16.3,15.7,10.7,4.8,-1.5,-13.3,,,,,3.055,2.988,3.293,3.622,3.367,2.387,1.01,
5001,6458,Payeur-Poirier,HBS75,1,49.76,-74.571,,None,,,33,Picea mariana; Pinus banksiana,Boreal,Forest,Managed,,,,,,IRGA,25,0.5,,644,,,,,,"Q10, R=a exp((bT-c)/10)",Positive,umol CO2/m2/s,0,15,,0.71,15,4.2,3.71,15,,,None,4.2,49.75,-74.75,956.89,0.05,1176.8,0.68,2008,113.458,0.916,1.938,2.8,TAIR_5,0.58,MGRsD and TAIR_Del,-14.5,-16.6,-12.4,2.2,6.8,14.5,16.2,15.5,10.5,3.9,-2.5,-15.4,,,,,1.771,3.504,4.656,4.327,4.396,2.669,1.641,
5002,6462,Pearson,Hyytiälä,2,62.51666667,24.28861111,,None,,,2,Pinus sylvestris,Boreal,Forest,Managed,,,,,,IRGA,14,1,,1050,,,,,,"R10 (L&T), R=a exp(b((1/c)-(1/T+d))(WTL), Rh",Positive,g CO2/m2/hr,0,15,111,0.57,5,0.16,270.71,10,-46.02,,Mixed,1.01,62.75,24.25,613.82,2.34,699.6,4.02,2008,85.961,1.105,0.998,6.15,,1,Table 2,-3.2,-3.2,-3.9,2.7,7.4,11.9,14.4,12,7,4.8,-0.2,-1.5,,0.198,,0.157,1.052,1.214,1.44,0.832,0.607,0.231,0.129,0.148
5005,6462,Pearson,Hyytiälä,2,62.51666667,24.28861111,,None,,,2,Pinus sylvestris,Boreal,Forest,Managed,,,,,,IRGA,14,1,,950,,,,,,"R10 (L&T), R=a exp(b((1/c)-(1/T+d))(WTL), Rh",Positive,g CO2/m2/hr,0,15,111,0.57,5,0.14,290.47,10,-46.02,,Mixed,0.884,62.75,24.25,613.82,2.34,699.6,4.02,2008,85.961,1.105,0.998,6.15,,1,Table 2,-3.2,-3.2,-3.9,2.7,7.4,11.9,14.4,12,7,4.8,-0.2,-1.5,,0.198,,0.157,1.052,1.214,1.44,0.832,0.607,0.231,0.129,0.148
5014,6479,Richards,Territory Wildlife Park,1,-12.695,132.1055556,,None,,,,Eucalyptus miniata; Eucalyptus tetrodont; Corymbia bleeseri,Tropical,Savanna,Natural,,1401,,,,IRGA,170,0.1,Exclusion,1780,,6.8,2.3,,,"Exponential, R=exp(a+bT)",Negative,mmol CO2/m2/day,25,54,,,2.5,14.27,-0.29,,,,Mixed,,-12.75,132.25,1469.49,27.49,1745,27.8,2010,275.622,0.41,1,30.8,,1,Table 1,27.7,28.7,28.8,28.2,27.9,24.9,26.6,26.5,29.1,28.7,28.6,27.9,,,,,,,,,,,,
5028,6492,Salm,natural,1,59.1,27.5,,None,,,,Calluna vulgaris; Empetrum nigrum; Andromeda polifolia; Oxycoccus palustris; Pinus sylvestris; Sphagnum spp.,Boreal,Wetland,Natural,,,,,,IRGA,30,1,,151,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,0,20,,,,7.22,0.15,0,,,Negative,0.749,59.25,27.75,607.42,4.94,659,5.53,2009,136.53,1.059,0.378,5.548,,1,MGRsD,-2.6,-5.2,-1.5,4.5,10.7,13.9,17,15.7,13,4.4,2,-5.5,0.152,0.15,0.2,0.388,1.232,1.686,1.988,1.903,1.318,0.519,0.347,0.108
5032,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1320,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5033,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1490,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5034,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1120,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5035,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1100,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5036,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1480,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5037,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1570,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5038,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1570,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5039,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1250,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5040,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1350,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5041,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1360,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5042,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1570,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5043,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1490,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5044,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1790,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5045,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1440,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5046,6493,Samuelson,Escambia Experimental Forest,1,31.01666667,-87.06666667,,None,,,50,Pinus palustris,Subtropical,Forest,Managed,,1648,,,,IRGA,30,0.9,,1570,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,25,,0.96,10,0.4723,0.0995,0,,,,1.277,31.25,-87.25,1538.29,18.58,1429.8,18.33,2008,251.711,0.55,-0.431,18.57,TAIR_2,0.83,MGRsD and TAIR_Del,8.6,11.9,14.8,18.2,22.8,25.9,26.2,25.6,23.9,17.5,12.1,12.4,1.68,1.664,1.925,2.274,3.2,5.992,6.342,6.691,4.952,3.215,,
5049,6497,Sasaki,Kurose River Estuary,1.5,34.08,133.29,,None,,,,None,Temperate,Wetland,Natural,,,,,,IRGA,50,1,,92,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,17,35,,0.7,5,3.5534,0.0575,0,,,,,34.25,133.25,1100.35,15.99,853.8,16.9,2007,259.858,0.471,0.05,17.99,,1,Figure 4,,,,,,,,,,,,,,,,,,,,,,,,
5109,6566,Wang,Qianyanzhou Ecological Station,1,26.74416667,115.0591667,102,None,,,20,Pinus elliotti,Subtropical,Forest,Managed,17.9,1469,747,,,Gas chromatography,3.5,1,,548,,,,,,"R10 (L&T), R=a exp(b/((273.15+c)*8.314)*(1-(273.15+c)/T)), T in K",Positive,mg C/m2/hr,5,30,,0.63,5,42.41,43448.32,10,,,Positive,0.9625,26.75,115.25,1531.99,17.51,1412.8,17.83,2004,314.977,0.434,-0.378,17.453,,1,MGRsD,5.5,9.9,11.2,19.3,22.8,25.3,27.9,27.8,23.8,18.4,14.2,7.9,0.458,0.708,1.097,1.402,2.041,1.902,2.096,1.763,1.597,0.93,1.18,0.875
5110,6566,Wang,Qianyanzhou Ecological Station,1,26.74416667,115.0591667,102,None,,,20,Pinus elliotti,Subtropical,Forest,Managed,17.9,1469,747,,,Gas chromatography,3.5,1,,632,,,,,,"R10 (L&T), R=a exp(b/((273.15+c)*8.314)*(1-(273.15+c)/T)), T in K",Positive,mg C/m2/hr,5,30,,0.63,5,42.41,43448.32,10,,,Positive,0.9625,26.75,115.25,1531.99,17.51,1412.8,17.44,2005,314.977,0.434,-0.378,17.453,,1,MGRsD,3.2,4.9,10.5,19.5,22.8,26.1,29,27.4,25.8,18.8,15.2,6.1,0.514,0.43,0.93,1.347,2.596,2.596,2.624,2.734,2.346,1.569,1.319,0.68
5111,6566,Wang,Qianyanzhou Ecological Station,1,26.74416667,115.0591667,102,None,,,20,Pinus elliotti,Subtropical,Forest,Managed,17.9,1469,747,,,Gas chromatography,3.5,1,,758,,,,,,"R10 (L&T), R=a exp(b/((273.15+c)*8.314)*(1-(273.15+c)/T)), T in K",Positive,mg C/m2/hr,5,30,,0.63,5,42.41,43448.32,10,,,Positive,0.9625,26.75,115.25,1531.99,17.51,1688.8,17.93,2006,314.977,0.434,0.498,17.453,,1,MGRsD,6.7,7.3,11.9,19,21.9,25.3,28.8,28.2,23.1,21.3,14.3,7.3,0.791,0.875,1.208,1.874,2.706,3.429,3.596,3.041,1.984,1.43,1.236,0.764
5623,10266,Zhang,Changwu Station,1,35.2,104.67,1200,None,,25,1,None,Temperate,Grassland,Managed,9.4,560,,9.76,520,IRGA,14,1,Comparison,293,10,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,5,25,,0.56,5,0.49,0.0499,0,,,Mixed,0.807,35.25,104.75,496.87,6.03,397.4,6.63,2009,97.315,0.605,-1.022,9,TAIR_2,1,Figure 2 and TAIR_Del,-5.4,-0.9,2.4,8.1,11,16.7,17.7,15.6,12.3,7.9,-0.9,-4.9,,,,,,,,,,,,
5624,10266,Zhang,Changwu Station,1,35.2,104.67,1200,None,,25,1,None,Temperate,Grassland,Managed,9.4,560,,10.26,481,IRGA,14,1,Comparison,298,9,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,5,25,,0.63,5,0.34,0.0661,0,,,Mixed,0.658,35.25,104.75,496.87,6.03,470.9,6.54,2010,97.315,0.605,-0.267,12,TAIR_2,1,Figure 2 and TAIR_Del,-3.8,-2.2,1.3,5.7,11.3,14.7,17.9,16.9,13,6.4,1.9,-4.6,,,,,,,,,,,,
5625,10266,Zhang,Changwu Station,1,35.2,104.67,1200,None,,25,1,None,Temperate,Grassland,Managed,9.4,560,,10.39,588,IRGA,14,1,Comparison,238,50,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,5,25,,0.47,5,0.35,0.0544,0,,,Mixed,0.603,35.25,104.75,496.87,6.03,491.7,5.97,2011,97.315,0.605,-0.053,10,TAIR_2,1,Figure 2 and TAIR_Del,-11.2,-2,-1.4,9.3,11.8,15.9,17.5,17.4,10.6,6.9,2.4,-5.6,,,,,,,,,,,,
5626,10266,Zhang,Changwu Station,1,35.2,104.67,1200,None,,25,1,None,Temperate,Grassland,Managed,9.4,560,,9.43,644,IRGA,14,1,Comparison,234,48,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,5,25,,0.47,5,0.45,0.0395,0,,,Mixed,0.668,35.25,104.75,496.87,6.03,533,5.77,2012,97.315,0.605,0.371,8,TAIR_2,1,Figure 2 and TAIR_Del,-8.5,-6,1.1,8.2,12,15.9,17.4,17.2,11.4,7,-0.9,-5.6,,,,,,,,,,,,
5627,10266,Zhang,Changwu Station,1,35.2,104.67,1200,None,,25,1,None,Temperate,Grassland,Managed,9.4,560,,9.43,481,IRGA,14,1,Comparison,226,19,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,5,25,,0.67,5,0.27,0.0623,0,,,Mixed,0.503,35.25,104.75,496.87,6.03,641.7,7.31,2013,97.315,0.605,1.488,12,TAIR_2,1,Figure 2 and TAIR_Del,-5,-1.7,6.7,8.5,12.5,15.6,16.7,17.8,12.6,8.5,0.4,-4.9,,,,,,,,,,,,
5628,10266,Zhang,Changwu Station,1,35.2,104.67,1200,None,,25,1,None,Temperate,Grassland,Managed,9.4,560,,11.08,523,IRGA,14,1,Comparison,240,30,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,5,25,,0.32,5,0.52,0.0441,0,,,Mixed,0.808,35.25,104.75,496.87,6.03,593.9,6.53,2014,97.315,0.605,0.997,8,TAIR_2,1,Figure 2 and TAIR_Del,-3.2,-4.5,3.3,7.5,10.9,15.4,17.5,16.1,12.5,8,0.1,-5.2,,,,,,,,,,,,
5778,7238,Miao,Alligator River National Wildlife Refuge,1.5,35.78,-75.9,,None,,,,Nyssa sylvatica; Nyssa biflora; Taxodium distichum,Temperate,Forest,Natural,16.8,1298,,16.8,,IRGA,0.1,1,,1325,40,,,,,"Q10, R=a b^((T-c)/10)",Positive,g C/m2/day,4,17,,0.69,5,10.58,3.65,24,,,,,35.75,75.75,1201.94,17,1081.7,17.14,2011,165.255,0.596,-0.325,17,,1,Figure 1,-23.7,-19.9,-14.1,-9.8,-1.5,1.6,3.2,3.7,-0.8,-7.9,-14,-20.8,,,,,,,,,,,,
5779,7238,Miao,Alligator River National Wildlife Refuge,1.5,35.78,-75.9,,None,,,,Nyssa sylvatica; Nyssa biflora; Taxodium distichum,Temperate,Forest,Natural,16.8,1298,,16.8,,IRGA,0.1,1,,621,89,,,,,"Q10, R=a b^((T-c)/10)",Positive,g C/m2/day,1,15,,0.69,5,7.55,12.94,24,,,,,35.75,75.75,1201.94,17,1081.7,17.14,2011,165.255,0.596,-0.325,17,,1,Figure 1,-23.7,-19.9,-14.1,-9.8,-1.5,1.6,3.2,3.7,-0.8,-7.9,-14,-20.8,,,,,,,,,,,,
5780,7238,Miao,Alligator River National Wildlife Refuge,1.5,35.78,-75.9,,None,,,,Nyssa sylvatica; Nyssa biflora; Taxodium distichum,Temperate,Forest,Natural,16.8,1298,,16.8,,IRGA,0.1,1,,430,264,,,,,"Q10, R=a b^((T-c)/10)",Positive,g C/m2/day,2,8,,0.59,5,4.77,9.06,24,,,,,35.75,75.75,1201.94,17,1081.7,17.14,2011,165.255,0.596,-0.325,17,,1,Figure 1,-23.7,-19.9,-14.1,-9.8,-1.5,1.6,3.2,3.7,-0.8,-7.9,-14,-20.8,,,,,,,,,,,,
5785,7289,Ohtsuka,,2,35.45,138.77,1030,None,,,95,Pinus densiflora; Ilex pedunculosa,Temperate,Forest,Natural,9.7,2025,,,,IRGA,30,0.75,Extraction,610,290,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,1,23,,0.72,5,91.5,0.107,0,,,,1.684,35.25,138.75,2061.45,10.81,2068.7,11.08,2007,255.335,0.526,0.028,9.5,,1,Figure 4,1.1,3.5,3.8,6.8,12.4,17.5,20.3,23,20.6,14.1,7.4,2.5,,,,,,,,,,,,
5800,7574,Wang,Laoshan Experimental Station,3,45.34583333,127.5780556,,None,,,38,Larix gmelinii,Temperate,Forest,Unmanaged,,,,,,IRGA,30,0.5,Exclusion,561.6,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,2,19,,0.4943,5,0.4623,0.0765,0,,,,0.993,45.25,127.75,659.31,2.77,664.6,3.23,2005,106.073,0.933,0.05,14,,0.58,Figure 2,-18,-19,-5.4,6.3,12.4,20.4,21.8,21,14.8,6.2,-3.7,-18.1,,,,,,,,,,,,
5802,7574,Wang,Laoshan Experimental Station,3,45.34583333,127.5780556,,None,,,38,Larix gmelinii,Temperate,Forest,Unmanaged,,,,,,IRGA,30,0.5,Exclusion,538.8,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,0,18,,0.5154,5,0.4829,0.0942,0,,,,1.239,45.25,127.75,659.31,2.77,703.8,3.71,2006,106.073,0.933,0.419,10,,0.58,Figure 2,-20.2,-13.6,-4.1,3.9,14.9,18.4,22.1,21.7,14.4,6.1,-5.5,-13.6,,,,,,,,,,,,
5804,7574,Wang,Laoshan Experimental Station,3,45.34583333,127.5780556,,None,,,38,Larix gmelinii,Temperate,Forest,Unmanaged,,,,,,IRGA,30,0.5,Exclusion,537.6,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,0,18,,0.504,5,0.5639,0.1016,0,,,,1.558,45.25,127.75,659.31,2.77,488.8,5.02,2007,106.073,0.933,-1.607,8,,0.58,Figure 2,-13.1,-8.7,-4.7,5.8,13.5,21.8,21.8,21.6,15,5.5,-5.4,-12.9,,,,,,,,,,,,
5812,7582,Wang,Huitong National Research Station of Forest Ecosystem,1,26.8,109.6,,None,,,23,Cunninghamia lanceolata; Pinus massoniana,Subtropical,Forest,Unmanaged,16.5,1200,,,,IRGA,30,1,Comparison,511,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,5,30,,0.903,5,0.2917,0.0881,0,,,Negative,0.704,26.75,109.75,1356.87,16.7,1368.5,16.16,2012,163.21,0.394,0.071,15.36,,1,Figure 1,3.3,4,9.9,18.4,21.6,24.6,27.8,27.1,22.1,18.1,11.1,5.9,,,,,,,,,,,,
5817,7588,Wang,Saihanba Forestry Center,2,42.5,117.35,1400,None,,,,Leymus chinensis,Temperate,Grassland,Unmanaged,-1.4,450.1,,,,IRGA,10,1,Extraction,450.4,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,-15,20,,0.85,5,0.4494,0.1029,0,,,,1.258,42.75,117.25,405.42,1.84,416.2,2.69,2008,80.127,0.739,0.135,9,,1,Fig 6,-19.2,-14,-2,6.8,9,16,20.4,17.7,11.7,4.8,-5.5,-13.4,,,,,,,,,,,,
5818,7588,Wang,Saihanba Forestry Center,2,42.5,117.35,1400,None,,,,Rosa bella; Malus baccata,Temperate,Shrubland,Unmanaged,-1.4,450.1,,,,IRGA,10,1,Extraction,479.5,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,-10,20,,0.91,5,0.4613,0.1215,0,,,,1.555,42.75,117.25,405.42,1.84,416.2,2.69,2008,80.127,0.739,0.135,8,,1,Fig 6,-19.2,-14,-2,6.8,9,16,20.4,17.7,11.7,4.8,-5.5,-13.4,,,,,,,,,,,,
